Entity,Year,Emigration_Rate,Schooling,Happiness,GDP,Unemployment,Undernourishment,Temp_5yr_avg,Collapse_Index
Eswatini,2020,0.01595745572776495,6.46,4.308,9727.514,32.944,11.3,0.3756223208333333,1.1117541110048106
Finland,2015,0.03818005996292875,10.94,7.413,52782.49,9.376,2.5,0.0914707344,-0.7923432984260057
Finland,2020,0.03540607521390274,11.05,7.842,55424.86,7.759,2.5,0.3756223208333333,-0.9576436981250062
France,2015,0.03465491283034038,11.6,6.478,50682.895,10.354,2.5,0.0914707344,-0.5777476100565371
France,2020,0.03641905860855777,11.89,6.69,49311.332,8.009,2.5,0.3756223208333333,-0.6817349299734186
Gabon,2015,0.021264680375700028,9.53,4.121,20147.71,19.978,14.1,0.0914707344,0.6714770146456897
Gabon,2020,0.02327324676711425,10.18,4.852,18681.484,21.27,19.7,0.3756223208333333,0.7191722841472353
Gambia,2020,0.02440232392485086,4.92,5.051,2702.319,5.892,17.1,0.3756223208333333,0.23606275481821976
Germany,2015,0.05126201019703976,12.86,6.994,59699.34,4.612,2.5,0.0914707344,-0.9115938173140702
Germany,2020,0.050275090333509985,13.1,7.155,60342.664,3.881,2.5,0.3756223208333333,-0.9747243409946549
Ghana,2015,0.029485952972446994,7.72,4.276,5607.366,6.806,9.7,0.0914707344,0.24060491498815884
Ghana,2020,0.03020023142391564,8.39,5.088,6412.6855,3.313,6.0,0.3756223208333333,-0.11272832086768211
Greece,2015,0.0702266779608576,11.6,5.033,31347.977,24.981,2.5,0.0914707344,0.45889725568547224
Greece,2020,0.0725271674874315,11.86,5.723,30487.113,15.899,2.5,0.3756223208333333,0.028958792397257453
Guatemala,2015,0.06685474880797308,5.72,6.324,10785.958,2.506,15.6,0.0914707344,-0.11192159148419685
Guatemala,2020,0.07389776688593425,6.26,6.435,11097.15,2.955,13.6,0.3756223208333333,-0.14363640300838867
Haiti,2015,0.13949779198420564,5.5,4.028,3422.0974,13.724,38.3,0.0914707344,1.4234572736112345
Haiti,2020,0.15694798737015786,5.95,3.615,3229.4756,15.546,45.1,0.3756223208333333,1.7507292028752406
Honduras,2015,0.08135856926251009,7.04,4.871,5812.5347,6.147,15.0,0.0914707344,0.34841025538548565
Honduras,2020,0.1048059228996136,7.51,5.919,5603.264,10.982,15.8,0.3756223208333333,0.40377020076377806
Hong Kong,2015,0.1399714189175706,12.32,5.458,62779.72,3.314,2.5,0.0914707344,-0.48249119571631904
Hong Kong,2020,0.15303528324860086,12.83,5.477,61328.54,5.808,2.5,0.3756223208333333,-0.35309142284625855
Hungary,2015,0.04769376324991913,11.83,5.145,31485.568,6.813,2.5,0.0914707344,-0.25444961974021757
Hungary,2020,0.052199614358088994,11.96,5.992,36119.52,4.25,2.5,0.3756223208333333,-0.5286107101520612
Iceland,2015,0.05920921435089225,12.95,7.501,59978.332,3.979,2.5,0.0914707344,-1.008768144541693
